case,iter,status_code,latency_ms,prediction,timestamp_start_iso
real_2,1,200,106.86,REAL,2025-11-02T15:34:30
real_2,2,200,90.28,REAL,2025-11-02T15:34:30
real_2,3,200,100.43,REAL,2025-11-02T15:34:30
real_2,4,200,94.12,REAL,2025-11-02T15:34:30
real_2,5,200,89.08,REAL,2025-11-02T15:34:31
real_2,6,200,114.96,REAL,2025-11-02T15:34:31
real_2,7,200,97.72,REAL,2025-11-02T15:34:31
real_2,8,200,89.53,REAL,2025-11-02T15:34:31
real_2,9,200,96.06,REAL,2025-11-02T15:34:31
real_2,10,200,97.45,REAL,2025-11-02T15:34:31
real_2,11,200,114.52,REAL,2025-11-02T15:34:31
real_2,12,200,117.75,REAL,2025-11-02T15:34:31
real_2,13,200,98.03,REAL,2025-11-02T15:34:31
real_2,14,200,93.86,REAL,2025-11-02T15:34:31
real_2,15,200,96.72,REAL,2025-11-02T15:34:32
real_2,16,200,97.02,REAL,2025-11-02T15:34:32
real_2,17,200,99.23,REAL,2025-11-02T15:34:32
real_2,18,200,98.67,REAL,2025-11-02T15:34:32
real_2,19,200,90.64,REAL,2025-11-02T15:34:32
real_2,20,200,93.37,REAL,2025-11-02T15:34:32
real_2,21,200,97.75,REAL,2025-11-02T15:34:32
real_2,22,200,93.74,REAL,2025-11-02T15:34:32
real_2,23,200,99.81,REAL,2025-11-02T15:34:32
real_2,24,200,97.77,REAL,2025-11-02T15:34:32
real_2,25,200,96.93,REAL,2025-11-02T15:34:33
real_2,26,200,139.43,REAL,2025-11-02T15:34:33
real_2,27,200,113.42,REAL,2025-11-02T15:34:33
real_2,28,200,92.43,REAL,2025-11-02T15:34:33
real_2,29,200,93.54,REAL,2025-11-02T15:34:33
real_2,30,200,93.58,REAL,2025-11-02T15:34:33
real_2,31,200,91.42,REAL,2025-11-02T15:34:33
real_2,32,200,91.33,REAL,2025-11-02T15:34:33
real_2,33,200,103.46,REAL,2025-11-02T15:34:33
real_2,34,200,94.12,REAL,2025-11-02T15:34:33
real_2,35,200,98.57,REAL,2025-11-02T15:34:34
real_2,36,200,91.41,REAL,2025-11-02T15:34:34
real_2,37,200,92.82,REAL,2025-11-02T15:34:34
real_2,38,200,92.6,REAL,2025-11-02T15:34:34
real_2,39,200,98.4,REAL,2025-11-02T15:34:34
real_2,40,200,88.17,REAL,2025-11-02T15:34:34
real_2,41,200,97.26,REAL,2025-11-02T15:34:34
real_2,42,200,98.05,REAL,2025-11-02T15:34:34
real_2,43,200,111.7,REAL,2025-11-02T15:34:34
real_2,44,200,92.02,REAL,2025-11-02T15:34:34
real_2,45,200,93.33,REAL,2025-11-02T15:34:34
real_2,46,200,96.99,REAL,2025-11-02T15:34:35
real_2,47,200,97.02,REAL,2025-11-02T15:34:35
real_2,48,200,99.66,REAL,2025-11-02T15:34:35
real_2,49,200,91.71,REAL,2025-11-02T15:34:35
real_2,50,200,93.12,REAL,2025-11-02T15:34:35
real_2,51,200,90.77,REAL,2025-11-02T15:34:35
real_2,52,200,95.74,REAL,2025-11-02T15:34:35
real_2,53,200,95.61,REAL,2025-11-02T15:34:35
real_2,54,200,97.12,REAL,2025-11-02T15:34:35
real_2,55,200,96.18,REAL,2025-11-02T15:34:35
real_2,56,200,100.47,REAL,2025-11-02T15:34:36
real_2,57,200,92.65,REAL,2025-11-02T15:34:36
real_2,58,200,103.75,REAL,2025-11-02T15:34:36
real_2,59,200,99.35,REAL,2025-11-02T15:34:36
real_2,60,200,95.7,REAL,2025-11-02T15:34:36
real_2,61,200,98.6,REAL,2025-11-02T15:34:36
real_2,62,200,98.24,REAL,2025-11-02T15:34:36
real_2,63,200,112.59,REAL,2025-11-02T15:34:36
real_2,64,200,93.28,REAL,2025-11-02T15:34:36
