case,iter,status_code,latency_ms,prediction,timestamp_start_iso
real_1,1,200,89.42,REAL,2025-11-02T15:34:20
real_1,2,200,94.92,REAL,2025-11-02T15:34:21
real_1,3,200,94.05,REAL,2025-11-02T15:34:21
real_1,4,200,92.66,REAL,2025-11-02T15:34:21
real_1,5,200,92.65,REAL,2025-11-02T15:34:21
real_1,6,200,96.46,REAL,2025-11-02T15:34:21
real_1,7,200,87.35,REAL,2025-11-02T15:34:21
real_1,8,200,94.28,REAL,2025-11-02T15:34:21
real_1,9,200,89.61,REAL,2025-11-02T15:34:21
real_1,10,200,97.03,REAL,2025-11-02T15:34:21
real_1,11,200,96.0,REAL,2025-11-02T15:34:21
real_1,12,200,98.53,REAL,2025-11-02T15:34:22
real_1,13,200,87.02,REAL,2025-11-02T15:34:22
real_1,14,200,90.03,REAL,2025-11-02T15:34:22
real_1,15,200,93.02,REAL,2025-11-02T15:34:22
real_1,16,200,97.57,REAL,2025-11-02T15:34:22
real_1,17,200,98.91,REAL,2025-11-02T15:34:22
real_1,18,200,94.9,REAL,2025-11-02T15:34:22
real_1,19,200,95.79,REAL,2025-11-02T15:34:22
real_1,20,200,88.68,REAL,2025-11-02T15:34:22
real_1,21,200,94.59,REAL,2025-11-02T15:34:22
real_1,22,200,96.58,REAL,2025-11-02T15:34:22
real_1,23,200,94.48,REAL,2025-11-02T15:34:23
real_1,24,200,91.04,REAL,2025-11-02T15:34:23
real_1,25,200,95.68,REAL,2025-11-02T15:34:23
real_1,26,200,96.62,REAL,2025-11-02T15:34:23
real_1,27,200,94.09,REAL,2025-11-02T15:34:23
real_1,28,200,96.35,REAL,2025-11-02T15:34:23
real_1,29,200,95.15,REAL,2025-11-02T15:34:23
real_1,30,200,94.29,REAL,2025-11-02T15:34:23
real_1,31,200,95.86,REAL,2025-11-02T15:34:23
real_1,32,200,88.21,REAL,2025-11-02T15:34:23
real_1,33,200,96.57,REAL,2025-11-02T15:34:23
real_1,34,200,94.33,REAL,2025-11-02T15:34:24
real_1,35,200,91.45,REAL,2025-11-02T15:34:24
real_1,36,200,91.68,REAL,2025-11-02T15:34:24
real_1,37,200,99.92,REAL,2025-11-02T15:34:24
real_1,38,200,95.75,REAL,2025-11-02T15:34:24
real_1,39,200,110.61,REAL,2025-11-02T15:34:24
real_1,40,200,96.02,REAL,2025-11-02T15:34:24
real_1,41,200,114.23,REAL,2025-11-02T15:34:24
real_1,42,200,96.85,REAL,2025-11-02T15:34:24
real_1,43,200,99.74,REAL,2025-11-02T15:34:24
real_1,44,200,94.81,REAL,2025-11-02T15:34:25
real_1,45,200,92.07,REAL,2025-11-02T15:34:25
real_1,46,200,90.51,REAL,2025-11-02T15:34:25
real_1,47,200,92.67,REAL,2025-11-02T15:34:25
real_1,48,200,101.38,REAL,2025-11-02T15:34:25
real_1,49,200,90.67,REAL,2025-11-02T15:34:25
real_1,50,200,90.92,REAL,2025-11-02T15:34:25
real_1,51,200,92.43,REAL,2025-11-02T15:34:25
real_1,52,200,102.32,REAL,2025-11-02T15:34:25
real_1,53,200,93.39,REAL,2025-11-02T15:34:25
real_1,54,200,89.91,REAL,2025-11-02T15:34:26
real_1,55,200,100.72,REAL,2025-11-02T15:34:26
real_1,56,200,100.54,REAL,2025-11-02T15:34:26
real_1,57,200,92.19,REAL,2025-11-02T15:34:26
real_1,58,200,92.97,REAL,2025-11-02T15:34:26
