case,iter,status_code,latency_ms,prediction,timestamp_start_iso
fake_1,1,200,128.84,FAKE,2025-11-02T15:34:00
fake_1,2,200,92.38,FAKE,2025-11-02T15:34:01
fake_1,3,200,109.66,FAKE,2025-11-02T15:34:01
fake_1,4,200,93.78,FAKE,2025-11-02T15:34:01
fake_1,5,200,94.59,FAKE,2025-11-02T15:34:01
fake_1,6,200,93.78,FAKE,2025-11-02T15:34:01
fake_1,7,200,103.12,FAKE,2025-11-02T15:34:01
fake_1,8,200,102.61,FAKE,2025-11-02T15:34:01
fake_1,9,200,95.3,FAKE,2025-11-02T15:34:01
fake_1,10,200,91.52,FAKE,2025-11-02T15:34:01
fake_1,11,200,93.72,FAKE,2025-11-02T15:34:01
fake_1,12,200,97.44,FAKE,2025-11-02T15:34:01
fake_1,13,200,102.7,FAKE,2025-11-02T15:34:02
fake_1,14,200,91.83,FAKE,2025-11-02T15:34:02
fake_1,15,200,94.74,FAKE,2025-11-02T15:34:02
fake_1,16,200,94.9,FAKE,2025-11-02T15:34:02
fake_1,17,200,97.23,FAKE,2025-11-02T15:34:02
fake_1,18,200,94.66,FAKE,2025-11-02T15:34:02
fake_1,19,200,93.29,FAKE,2025-11-02T15:34:02
fake_1,20,200,99.14,FAKE,2025-11-02T15:34:02
fake_1,21,200,94.87,FAKE,2025-11-02T15:34:02
fake_1,22,200,92.31,FAKE,2025-11-02T15:34:02
fake_1,23,200,96.38,FAKE,2025-11-02T15:34:03
fake_1,24,200,94.71,FAKE,2025-11-02T15:34:03
fake_1,25,200,96.57,FAKE,2025-11-02T15:34:03
fake_1,26,200,95.28,FAKE,2025-11-02T15:34:03
fake_1,27,200,98.14,FAKE,2025-11-02T15:34:03
fake_1,28,200,91.78,FAKE,2025-11-02T15:34:03
fake_1,29,200,92.75,FAKE,2025-11-02T15:34:03
fake_1,30,200,95.26,FAKE,2025-11-02T15:34:03
fake_1,31,200,95.68,FAKE,2025-11-02T15:34:03
fake_1,32,200,91.69,FAKE,2025-11-02T15:34:03
fake_1,33,200,95.08,FAKE,2025-11-02T15:34:03
fake_1,34,200,92.0,FAKE,2025-11-02T15:34:04
fake_1,35,200,95.8,FAKE,2025-11-02T15:34:04
fake_1,36,200,94.8,FAKE,2025-11-02T15:34:04
fake_1,37,200,97.61,FAKE,2025-11-02T15:34:04
fake_1,38,200,94.8,FAKE,2025-11-02T15:34:04
fake_1,39,200,90.94,FAKE,2025-11-02T15:34:04
fake_1,40,200,92.93,FAKE,2025-11-02T15:34:04
fake_1,41,200,103.52,FAKE,2025-11-02T15:34:04
fake_1,42,200,94.32,FAKE,2025-11-02T15:34:04
fake_1,43,200,96.64,FAKE,2025-11-02T15:34:04
fake_1,44,200,93.53,FAKE,2025-11-02T15:34:05
fake_1,45,200,95.73,FAKE,2025-11-02T15:34:05
fake_1,46,200,97.52,FAKE,2025-11-02T15:34:05
fake_1,47,200,94.43,FAKE,2025-11-02T15:34:05
fake_1,48,200,98.2,FAKE,2025-11-02T15:34:05
fake_1,49,200,98.98,FAKE,2025-11-02T15:34:05
fake_1,50,200,95.49,FAKE,2025-11-02T15:34:05
fake_1,51,200,96.13,FAKE,2025-11-02T15:34:05
fake_1,52,200,98.84,FAKE,2025-11-02T15:34:05
fake_1,53,200,91.48,FAKE,2025-11-02T15:34:05
fake_1,54,200,103.18,FAKE,2025-11-02T15:34:05
fake_1,55,200,98.18,FAKE,2025-11-02T15:34:06
fake_1,56,200,99.56,FAKE,2025-11-02T15:34:06
fake_1,57,200,99.13,FAKE,2025-11-02T15:34:06
fake_1,58,200,90.51,FAKE,2025-11-02T15:34:06
fake_1,59,200,92.48,FAKE,2025-11-02T15:34:06
fake_1,60,200,92.48,FAKE,2025-11-02T15:34:06
fake_1,61,200,99.91,FAKE,2025-11-02T15:34:06
fake_1,62,200,93.47,FAKE,2025-11-02T15:34:06
fake_1,63,200,106.07,FAKE,2025-11-02T15:34:06
fake_1,64,200,93.1,FAKE,2025-11-02T15:34:06
fake_1,65,200,97.78,FAKE,2025-11-02T15:34:07
fake_1,66,200,90.24,FAKE,2025-11-02T15:34:07
fake_1,67,200,97.83,FAKE,2025-11-02T15:34:07
fake_1,68,200,96.48,FAKE,2025-11-02T15:34:07
fake_1,69,200,92.9,FAKE,2025-11-02T15:34:07
fake_1,70,200,93.38,FAKE,2025-11-02T15:34:07
fake_1,71,200,97.05,FAKE,2025-11-02T15:34:07
fake_1,72,200,99.82,FAKE,2025-11-02T15:34:07
fake_1,73,200,95.68,FAKE,2025-11-02T15:34:07
fake_1,74,200,98.55,FAKE,2025-11-02T15:34:07
fake_1,75,200,96.01,FAKE,2025-11-02T15:34:08
fake_1,76,200,96.68,FAKE,2025-11-02T15:34:08
fake_1,77,200,94.02,FAKE,2025-11-02T15:34:08
fake_1,78,200,93.36,FAKE,2025-11-02T15:34:08
fake_1,79,200,92.51,FAKE,2025-11-02T15:34:08
fake_1,80,200,95.55,FAKE,2025-11-02T15:34:08
fake_1,81,200,93.54,FAKE,2025-11-02T15:34:08
fake_1,82,200,95.17,FAKE,2025-11-02T15:34:08
fake_1,83,200,91.37,FAKE,2025-11-02T15:34:08
fake_1,84,200,88.69,FAKE,2025-11-02T15:34:08
fake_1,85,200,89.34,FAKE,2025-11-02T15:34:08
fake_1,86,200,96.36,FAKE,2025-11-02T15:34:09
fake_1,87,200,94.99,FAKE,2025-11-02T15:34:09
fake_1,88,200,96.36,FAKE,2025-11-02T15:34:09
fake_1,89,200,100.86,FAKE,2025-11-02T15:34:09
fake_1,90,200,98.16,FAKE,2025-11-02T15:34:09
fake_1,91,200,90.43,FAKE,2025-11-02T15:34:09
fake_1,92,200,93.83,FAKE,2025-11-02T15:34:09
fake_1,93,200,93.24,FAKE,2025-11-02T15:34:09
fake_1,94,200,108.12,FAKE,2025-11-02T15:34:09
fake_1,95,200,94.86,FAKE,2025-11-02T15:34:09
fake_1,96,200,97.61,FAKE,2025-11-02T15:34:10
fake_1,97,200,97.41,FAKE,2025-11-02T15:34:10
fake_1,98,200,93.13,FAKE,2025-11-02T15:34:10
fake_1,99,200,94.1,FAKE,2025-11-02T15:34:10
fake_1,100,200,93.08,FAKE,2025-11-02T15:34:10
